covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
age,0.15626362261828333,1.1691343727323051,0.08219262782289173,-0.004830967709289258,0.3173582129458559,0.9951806826468332,1.3734944873213875,0.0,1.9011878164426061,0.057277416346933376,4.125889772373902
clinical.T.Stage,0.1312659409216398,1.1402709857098337,0.10566361041401671,-0.07583092996630436,0.33836281180958394,0.9269729166537721,1.4026493088333798,0.0,1.2423003568334139,0.214125763759978,2.223469702655064
Clinical.N.Stage,0.13101215049387216,1.1399816325676813,0.11036977711172577,-0.08530863762682353,0.3473329386145678,0.9182288406927382,1.4152878509144318,0.0,1.1870292205197661,0.23521609482265346,2.0879413139376237
Clinical.M.Stage,0.027395465401268995,1.0277741715309578,0.0981104523694506,-0.16489748774978658,0.21968841855232457,0.8479806280347723,1.245688536675901,0.0,0.2792308539981753,0.7800676668686102,0.3583288190900127
series_n,0.11617865378711661,1.1231965175212233,0.2642843493824721,-0.4018091526801291,0.6341664602543624,0.6691084310565244,1.8854498888614806,0.0,0.4395971765205928,0.6602288860369994,0.5989618348021161
total_image_count,-0.004676603903787707,0.9953343143814527,0.06616784081024223,-0.13436318882664205,0.12500998101906663,0.8742724809388882,1.1331597630995847,0.0,-0.07067789800183125,0.9436541116771227,0.08366994590523909
Overall.Stage_I,0.12085201695507707,1.1284579073734944,0.703652767174925,-1.258282064329724,1.499986098239878,0.2841417446841944,4.4816267674047285,0.0,0.1717495085541727,0.8636344618765268,0.21150728206608757
Overall.Stage_II,0.08795226310963974,1.0919359951551388,0.7159190485253231,-1.315223287846177,1.4911278140654562,0.26841438287807284,4.442102560715073,0.0,0.12285224606162823,0.9022241011972342,0.14844226946708491
Overall.Stage_IIIa,0.08025875691423344,1.0835674119627663,0.6858441041176705,-1.2639709861655397,1.4244884999940066,0.2825298737594349,4.155731642266656,0.0,0.11702186609518979,0.9068427258899464,0.14107572963858608
Overall.Stage_IIIb,-0.18642327807502915,0.8299222327401139,0.6911405672994411,-1.541033898236515,1.1681873420864566,0.21415956772565597,3.2161575581748902,0.0,-0.2697327966197361,0.7873658273436561,0.3448939957910715
Histology_adenocarcinoma,0.09513943146382295,1.099812192859783,0.6980877936275186,-1.2730875020931434,1.4633663650207893,0.2799658907192739,4.3204793857403,0.0,0.13628576854129448,0.8915953739695642,0.16553896367381823
Histology_large cell,-0.05818230905568973,0.9434779271868807,0.6825180113405193,-1.3958930300830077,1.2795284119716284,0.24761181280454014,3.594943993207304,0.0,-0.08524655479994599,0.9320653798754912,0.10149693838344095
Histology_nos,-0.16119903719583284,0.851122649181675,0.6945196619458027,-1.5224325611645395,1.200034486772874,0.21818050348321866,3.3202314248291693,0.0,-0.23210147390818162,0.8164592001225686,0.29254730126392814
Histology_squamous cell carcinoma,0.08849034282702667,1.0925237018691678,0.6797030764509447,-1.2437032071979,1.4206838928519534,0.288314550043574,4.139950755053867,0.0,0.13018970472971392,0.8964163396918019,0.15775914865230095
gender_female,-0.1494902067207647,0.8611468714301801,0.849850068782656,-1.8151657337936582,1.516185320352129,0.16281092288215515,4.554816845493523,0.0,-0.17590185870655725,0.8603710450844644,0.21696912174884384
gender_male,0.1494902067207647,1.1612420983881817,0.849850068782656,-1.516185320352129,1.8151657337936582,0.21954779608523387,6.142094045642222,0.0,0.17590185870655725,0.8603710450844644,0.21696912174884384
